"","scientific_name","Family1","Order1","Beak.Length_Culmen","Beak.Length_Nares","Beak.Width","Beak.Depth","Tarsus.Length","Wing.Length","Kipps.Distance","Secondary1","Hand.Wing.Index","Tail.Length","Mass","Inference","Habitat","Habitat.Density","Migration","Trophic.Level","Trophic.Niche","Primary.Lifestyle","Range.Size","common_name"
"114","Motacilla cinerea","Motacillidae","Passeriformes",17.4,10.8,3.1,3,18.2,82.8,28.6,54,34.6,94.4,17.2,"NO","Riverine",3,2,"Carnivore","Invertivore","Terrestrial",19613139.17,"Gray Wagtail"
"115","Motacilla citreola","Motacillidae","Passeriformes",16.2,9.6,3.2,3.5,25.3,85.5,24.2,61.7,28.2,82.8,19.1,"NO","Wetland",3,3,"Carnivore","Aquatic predator","Terrestrial",16401945.75,"Citrine Wagtail"
"116","Motacilla flava","Motacillidae","Passeriformes",16,9.6,3.2,3.5,23.1,79.5,24.7,54.5,31.1,70.6,17.7,"NO","Grassland",3,3,"Carnivore","Invertivore","Terrestrial",19198163.05,"Western Yellow Wagtail"
"117","Motacilla maderaspatensis","Motacillidae","Passeriformes",18.8,11.8,3.7,4.1,25.8,97.1,24.8,71.6,25.6,105.4,30.5,"NO","Riverine",3,1,"Carnivore","Invertivore","Terrestrial",2810164.27,"White-browed Wagtail"
"118","Copsychus saularis","Muscicapidae","Passeriformes",23.2,15,5.4,5.8,29.5,97.5,18.7,79.2,19.1,84,36,"NO","Woodland",1,1,"Carnivore","Invertivore","Terrestrial",9009660.2,"Oriental Magpie-Robin"
"119","Eumyias thalassinus","Muscicapidae","Passeriformes",12,7.6,5,3.3,13.8,76.2,15.7,59.5,20.9,61,18.1,"NO","Forest",1,1,"Carnivore","Invertivore","Insessorial",4490414.63,"Verditer Flycatcher"
"120","Monticola solitarius","Muscicapidae","Passeriformes",28.1,15.7,5.3,6,28.3,121.1,35.8,85.4,29.5,84.6,53.7,"NO","Rock",3,2,"Carnivore","Omnivore","Insessorial",9788977.12,"Blue Rock-Thrush"
"121","Muscicapa dauurica","Muscicapidae","Passeriformes",13.1,8,4.6,3.5,13.7,68.2,20.3,48.9,29.4,46.8,9.8,"NO","Woodland",1,3,"Carnivore","Invertivore","Insessorial",6794474.03,"Asian Brown Flycatcher"
"122","Saxicola caprata","Muscicapidae","Passeriformes",14.9,7.7,3.6,3.8,20.9,70.1,10.7,59.7,15.1,51.5,15.2,"NO","Shrubland",2,3,"Carnivore","Invertivore","Insessorial",9769943,"Pied Bushchat"
"123","Cinnyris asiaticus","Nectariniidae","Passeriformes",20.3,15,3.7,3.2,14.6,55,11.3,43.7,20.6,35.1,8.1,"NO","Shrubland",2,1,"Omnivore","Omnivore","Insessorial",5816862.3,"Purple Sunbird"
"124","Oriolus xanthornus","Oriolidae","Passeriformes",29.6,19.8,8,7.8,24.3,133.6,36.4,96.6,27.4,82.6,56.3,"NO","Forest",2,1,"Herbivore","Frugivore","Insessorial",4313543.23,"Black-hooded Oriole"
"125","Passer domesticus","Passeridae","Passeriformes",13.5,9.1,6.3,7.4,17.9,74.9,20.4,54.4,27.3,57.2,26.5,"NO","Human Modified",3,1,"Herbivore","Granivore","Terrestrial",34407867.59,"House Sparrow"
"126","Pellorneum ruficeps","Pellorneidae","Passeriformes",17.2,9.7,3.1,4.2,25.8,69,6.2,65.1,8.6,66.4,26,"NO","Shrubland",2,1,"Carnivore","Invertivore","Terrestrial",2044549.11,"Puff-throated Babbler"
"127","Phylloscopus trochiloides","Phylloscopidae","Passeriformes",11.3,6.4,3,2.6,18.7,61.3,12.2,49,19.9,48.4,8.1,"NO","Forest",1,3,"Carnivore","Invertivore","Insessorial",8430367.15,"Greenish Warbler"
"128","Pitta brachyura","Pittidae","Passeriformes",22.8,13.9,6.5,7.5,36.5,104.8,23.2,81.5,22.1,39.4,55.5,"NO","Forest",1,3,"Carnivore","Invertivore","Terrestrial",1116429.6,"Indian Pitta"
"129","Ploceus manyar","Ploceidae","Passeriformes",16.8,11.8,7.1,9.2,20.1,67.8,14.2,53.5,21,43.5,17.4,"NO","Shrubland",2,1,"Herbivore","Granivore","Insessorial",3752924.49,"Streaked Weaver"
"130","Ploceus philippinus","Ploceidae","Passeriformes",17.9,12.5,7.4,9.4,20.6,70.2,13.1,56.9,18.7,45.9,28.2,"NO","Shrubland",2,1,"Herbivore","Granivore","Insessorial",6341236.33,"Baya Weaver"
"131","Pycnonotus cafer","Pycnonotidae","Passeriformes",19.4,10.5,4.8,5.3,21.3,94.5,15.7,78.8,16.5,86.2,42.9,"NO","Shrubland",2,1,"Herbivore","Omnivore","Insessorial",4173278.58,"Red-vented Bulbul"
"132","Pycnonotus jocosus","Pycnonotidae","Passeriformes",17.5,9.1,4.5,4.8,20.5,86.8,12.4,74.8,14.2,88.1,29.5,"NO","Shrubland",2,1,"Herbivore","Omnivore","Insessorial",5185044.87,"Red-whiskered Bulbul"
"133","Acridotheres fuscus","Sturnidae","Passeriformes",27.2,16.1,6.6,7.3,36.5,123.6,30.7,93.6,24.7,74.9,82.8,"NO","Woodland",2,2,"Omnivore","Omnivore","Insessorial",2411128.95,"Jungle Myna"
"134","Acridotheres tristis","Sturnidae","Passeriformes",26.8,16,6.4,8,38.6,139.8,32.8,106.3,23.6,84.8,116.4,"NO","Human Modified",3,2,"Carnivore","Omnivore","Terrestrial",8561587.67,"Common Myna"
"135","Sturnia malabarica","Sturnidae","Passeriformes",22.4,13.7,5.4,5.3,23.4,100.7,30.5,69.5,30.5,62.9,39.6,"NO","Woodland",2,2,"Herbivore","Omnivore","Insessorial",3374078.72,"Chestnut-tailed Starling"
"136","Sturnia pagodarum","Sturnidae","Passeriformes",19.9,12.3,4.7,5.1,27.1,99.8,27.2,72.6,27.3,62.5,48.9,"NO","Forest",1,1,"Herbivore","Omnivore","Insessorial",3407257.97,"Brahminy Starling"
"137","Chrysomma sinense","Sylviidae","Passeriformes",13.8,8.7,3.7,5.3,25.3,65.1,6.3,58.8,9.6,81.8,17.2,"NO","Shrubland",2,1,"Carnivore","Invertivore","Insessorial",4332183.62,"Yellow-eyed Babbler"
"138","Geokichla citrina","Turdidae","Passeriformes",21.7,13.2,4.7,5.9,31.1,118.2,33.3,79.2,29.6,73.4,53.3,"NO","Forest",1,3,"Omnivore","Omnivore","Generalist",3199105.31,"Orange-headed Thrush"
"139","Tephrodornis pondicerianus","Vangidae","Passeriformes",20.3,12.9,5.7,6.3,18.7,83.2,14.3,68.4,17.3,57.8,20.2,"NO","Forest",2,1,"Carnivore","Invertivore","Insessorial",4411317.05,"Common Woodshrike"
"140","Zosterops palpebrosus","Zosteropidae","Passeriformes",12.7,6.9,2.9,2.8,14.9,51.8,10.7,40.9,20.7,35.3,8.6,"NO","Forest",1,1,"Omnivore","Omnivore","Insessorial",6382482.99,"Indian White-eye"
"141","Ardea alba","Ardeidae","Pelecaniformes",126.3,90.4,12,18.1,141.6,378.8,120.7,257.2,32.1,140.5,871.3,"NO","Wetland",3,2,"Carnivore","Aquatic predator","Terrestrial",74898555.49,"Great Egret"
"142","Ardea cinerea","Ardeidae","Pelecaniformes",138.9,95.5,18.7,25.4,137.9,441,152.7,287.9,34.6,169.1,1443,"NO","Wetland",3,1,"Carnivore","Aquatic predator","Terrestrial",46421646.29,"Gray Heron"
"143","Ardea intermedia","Ardeidae","Pelecaniformes",90.4,61.4,10.5,14.1,104.2,303.4,98.4,202.3,32.7,117.8,458.8,"NO","Wetland",3,2,"Carnivore","Aquatic predator","Terrestrial",5469087.01,"Intermediate Egret"
"144","Ardea purpurea","Ardeidae","Pelecaniformes",125.9,102.5,13.6,19.6,117.5,349.7,118.2,230.8,33.9,113.2,1064.5,"NO","Wetland",3,3,"Carnivore","Aquatic predator","Terrestrial",34922824.77,"Purple Heron"
"145","Ardeola grayii","Ardeidae","Pelecaniformes",72.4,50.1,9.3,12.1,57.3,207.4,59.6,147.8,28.7,74,253,"NO","Wetland",3,2,"Carnivore","Aquatic predator","Terrestrial",3285673.01,"Indian Pond-Heron"
"146","Bubulcus ibis","Ardeidae","Pelecaniformes",63.3,43.5,8.6,11.5,76.8,244.4,73,171.2,29.9,90.9,366,"NO","Human Modified",3,2,"Carnivore","Omnivore","Terrestrial",62451101.72,"Cattle Egret"
