"","scientific_name","Family1","Order1","Beak.Length_Culmen","Beak.Length_Nares","Beak.Width","Beak.Depth","Tarsus.Length","Wing.Length","Kipps.Distance","Secondary1","Hand.Wing.Index","Tail.Length","Mass","Inference","Habitat","Habitat.Density","Migration","Trophic.Level","Trophic.Niche","Primary.Lifestyle","Range.Size","common_name"
"23","Cypsiurus balasiensis","Apodidae","Caprimulgiformes",6.5,2.5,3.5,2.1,9.1,114.7,78.1,36.3,68.3,59.9,9.1,"NO","Human Modified",1,1,"Carnivore","Invertivore","Aerial",6838834.25,"Asian Palm-Swift"
"24","Burhinus indicus","Burhinidae","Charadriiformes",41.5,20.9,8,9.3,73.2,204.2,95.3,109,46.7,98.2,307,"NO","Grassland",3,3,"Carnivore","Invertivore","Terrestrial",3912246.9,"Indian Thick-knee"
"25","Charadrius alexandrinus","Charadriidae","Charadriiformes",16.3,10.8,3.1,3.1,26.5,106.2,59.2,48.5,55,44.2,42.3,"NO","Coastal",3,2,"Carnivore","Aquatic predator","Terrestrial",13539453.43,"Kentish Plover"
"26","Charadrius dubius","Charadriidae","Charadriiformes",16.1,9.3,2.6,3.1,23.2,114.8,57.2,55,51,55.6,38.7,"NO","Wetland",3,3,"Carnivore","Aquatic predator","Terrestrial",33641119.87,"Little Ringed Plover"
"27","Charadrius mongolus","Charadriidae","Charadriiformes",18,11.4,4,4.2,29.8,128.8,75.8,53.8,58.5,52.8,64,"NO","Wetland",3,3,"Carnivore","Aquatic predator","Terrestrial",4714238.7,"Lesser Sand-Plover"
"28","Pluvialis fulva","Charadriidae","Charadriiformes",25.2,15.2,4.2,5.2,40.2,159,94.8,65,59.3,58.4,134.9,"NO","Grassland",3,3,"Carnivore","Omnivore","Terrestrial",2241495.9,"Pacific Golden-Plover"
"29","Vanellus indicus","Charadriidae","Charadriiformes",34.7,19.1,5.3,5.4,74.2,208.8,90.6,119,43.2,104,181,"NO","Wetland",3,1,"Carnivore","Invertivore","Terrestrial",7325570.07,"Red-wattled Lapwing"
"30","Vanellus malabaricus","Charadriidae","Charadriiformes",27.2,14.7,4.7,4.9,59.5,192.4,92,100,47.9,74.8,140,"NO","Grassland",3,1,"Carnivore","Invertivore","Terrestrial",1885987.77,"Yellow-wattled Lapwing"
"31","Glareola lactea","Glareolidae","Charadriiformes",13.1,6.7,4.2,4.4,21,146.6,89.5,56.2,61.4,51.4,39.8,"NO","Riverine",3,2,"Carnivore","Invertivore","Aerial",3735669.19,"Small Pratincole"
"32","Hydrophasianus chirurgus","Jacanidae","Charadriiformes",32.8,17.1,4.2,5.5,52.9,194.4,78.8,114,40.9,69.5,160,"NO","Wetland",3,2,"Omnivore","Aquatic predator","Terrestrial",6414861.88,"Pheasant-tailed Jacana"
"33","Metopidius indicus","Jacanidae","Charadriiformes",34.3,18.6,4.6,7.7,67.8,161.4,52.5,112,32,47,155,"NO","Wetland",3,1,"Herbivore","Omnivore","Terrestrial",2649332.71,"Bronze-winged Jacana"
"34","Chlidonias hybrida","Laridae","Charadriiformes",35,20.1,4.3,7.5,23,231.8,144.5,82.8,63.6,85.8,83.7,"NO","Wetland",3,3,"Carnivore","Aquatic predator","Aerial",10089513.85,"Whiskered Tern"
"35","Gelochelidon nilotica","Laridae","Charadriiformes",42.1,27,6.2,10.8,31.5,308.1,213.6,105.1,67,123.5,218.3,"NO","Coastal",3,3,"Carnivore","Omnivore","Aerial",7524091.88,"Gull-billed Tern"
"36","Larus fuscus","Laridae","Charadriiformes",62.3,23,7.9,15.8,61.5,412.2,235.5,174.5,57.4,147,762.4,"NO","Coastal",3,2,"Carnivore","Aquatic predator","Generalist",4200335.24,"Lesser Black-backed Gull"
"37","Sterna aurantia","Laridae","Charadriiformes",43.5,28,5.6,10.4,20.3,262.2,166.8,97.8,63,168.2,209,"YES","Riverine",3,2,"Carnivore","Aquatic predator","Aerial",5428999.73,"River Tern"
"38","Sterna hirundo","Laridae","Charadriiformes",44.5,24.2,3.8,7,19.5,253.3,170.6,82.6,67.3,129.8,129.2,"NO","Marine",3,3,"Carnivore","Aquatic predator","Aerial",30248469.5,"Common Tern"
"39","Sternula albifrons","Laridae","Charadriiformes",33.5,22.9,3.2,5.8,15.4,169.6,117,50.5,69.8,80,57,"NO","Coastal",3,3,"Carnivore","Aquatic predator","Aerial",11965931.09,"Little Tern"
"40","Himantopus himantopus","Recurvirostridae","Charadriiformes",65.7,49.1,4.5,4.7,110.8,223.8,117.2,107.1,52.2,74,176.8,"NO","Wetland",3,2,"Carnivore","Aquatic predator","Terrestrial",56867877.55,"Black-winged Stilt"
"41","Recurvirostra avosetta","Recurvirostridae","Charadriiformes",83.7,69.8,6.4,4.7,86.9,217.9,107.8,109.2,49.7,79.4,304,"NO","Wetland",3,2,"Carnivore","Aquatic predator","Terrestrial",17136961.53,"Pied Avocet"
"42","Rostratula benghalensis","Rostratulidae","Charadriiformes",52,39.8,4.3,6.7,44.4,127.6,38.5,83.5,31.6,42,121,"NO","Wetland",1,2,"Omnivore","Aquatic predator","Terrestrial",24950994.82,"Greater Painted-Snipe"
"43","Actitis hypoleucos","Scolopacidae","Charadriiformes",30.1,19.9,3.1,4,22.4,109.9,51.1,55.4,48,57.4,48,"NO","Wetland",3,3,"Carnivore","Aquatic predator","Terrestrial",25847437.41,"Common Sandpiper"
"44","Calidris minuta","Scolopacidae","Charadriiformes",20.4,14.8,2.5,3.3,21.5,93.2,46.7,45.6,50.6,35.6,21.1,"NO","Grassland",3,3,"Carnivore","Aquatic predator","Terrestrial",1734619.92,"Little Stint"
"45","Calidris pugnax","Scolopacidae","Charadriiformes",37.6,26.7,3.8,5.1,42.9,163.7,85.3,81.9,51,60,131.7,"NO","Wetland",3,3,"Carnivore","Aquatic predator","Terrestrial",8562266.88,"Ruff"
"46","Gallinago gallinago","Scolopacidae","Charadriiformes",69.7,56.9,4.6,6,30,127.9,56.6,71.3,44.3,54,112.9,"NO","Wetland",3,3,"Carnivore","Aquatic predator","Terrestrial",20105909.91,"Common Snipe"
"47","Limosa limosa","Scolopacidae","Charadriiformes",113.5,95.6,6,10,78,215.6,110.2,103.6,51.5,78,288.4,"NO","Wetland",3,3,"Carnivore","Aquatic predator","Terrestrial",10058061.19,"Black-tailed Godwit"
"48","Numenius arquata","Scolopacidae","Charadriiformes",145.8,122.5,8.9,9.7,82.7,292.2,155.9,137.2,53.2,111.3,803,"NO","Grassland",3,3,"Carnivore","Aquatic predator","Terrestrial",12491410.25,"Eurasian Curlew"
"49","Tringa erythropus","Scolopacidae","Charadriiformes",63,50.4,4.1,5.7,57.2,163.4,83,80.5,50.8,63.4,158,"NO","Grassland",3,3,"Carnivore","Aquatic predator","Terrestrial",3716042.92,"Spotted Redshank"
"50","Tringa glareola","Scolopacidae","Charadriiformes",32.5,24.3,2.9,3.9,35.1,124,60.2,64.3,48.4,49.2,62.1,"NO","Wetland",3,3,"Carnivore","Aquatic predator","Terrestrial",16979550.25,"Wood Sandpiper"
"51","Tringa nebularia","Scolopacidae","Charadriiformes",63.6,42.9,4.1,6,58,185.4,96.9,88.8,52.1,74.8,187,"NO","Wetland",3,3,"Carnivore","Aquatic predator","Terrestrial",12134126.53,"Common Greenshank"
"52","Tringa ochropus","Scolopacidae","Charadriiformes",37.4,27.6,2.7,4.1,32.9,137.8,63.2,74.8,45.8,59.5,71.4,"NO","Wetland",3,3,"Carnivore","Aquatic predator","Terrestrial",15230538.62,"Green Sandpiper"
"53","Tringa totanus","Scolopacidae","Charadriiformes",45.1,31.1,3.4,4.9,47.3,156.9,74.1,82.8,47.2,64.1,129,"NO","Wetland",3,3,"Carnivore","Aquatic predator","Terrestrial",19709237.23,"Common Redshank"
"54","Turnix suscitator","Turnicidae","Charadriiformes",15.8,8.2,3.1,4.9,24.6,82.8,16.6,63.4,20.8,25.1,49.1,"NO","Grassland",3,1,"Herbivore","Omnivore","Terrestrial",5511938.06,"Barred Buttonquail"
"55","Anastomus oscitans","Ciconiidae","Ciconiiformes",156.7,129,21.5,37.7,137.7,397,160.5,238.8,40.2,162.4,1590,"NO","Wetland",3,2,"Carnivore","Aquatic predator","Terrestrial",2119789.43,"Asian Openbill"
"56","Ciconia nigra","Ciconiidae","Ciconiiformes",184.5,145.7,16.6,27.4,192.6,529.5,228.3,300.2,43.1,235.6,2926,"NO","Woodland",2,3,"Carnivore","Aquatic predator","Terrestrial",18362407.3,"Black Stork"
"57","Mycteria leucocephala","Ciconiidae","Ciconiiformes",254.2,238,37.5,46,222.2,474.2,200.8,288.2,41.1,183.5,3180,"NO","Wetland",3,2,"Carnivore","Aquatic predator","Terrestrial",1543399.32,"Painted Stork"
"58","Chalcophaps indica","Columbidae","Columbiformes",20.9,11.3,3.1,4.2,25.8,143.9,40,100.1,28.7,83.9,136.5,"NO","Forest",1,1,"Herbivore","Omnivore","Generalist",4704607.55,"Asian Emerald Dove"
"59","Columba livia","Columbidae","Columbiformes",23.2,12.1,4.3,5,26.5,219.6,98.8,120.4,45.1,105.5,354.2,"NO","Human Modified",3,1,"Herbivore","Granivore","Terrestrial",17464191.46,"Rock Pigeon"
"60","Streptopelia decaocto","Columbidae","Columbiformes",20.9,9.6,3.9,3.9,20.8,173.7,60.9,111.5,35.4,134.2,149,"NO","Human Modified",3,1,"Herbivore","Omnivore","Terrestrial",19265912.02,"Eurasian Collared-Dove"
"61","Alcedo atthis","Alcedinidae","Coraciiformes",42.2,32.5,5.7,7.4,9.9,73.3,19.3,52.6,26.9,32.3,31.1,"NO","Riverine",2,1,"Carnivore","Aquatic predator","Insessorial",24992154.31,"Common Kingfisher"
"62","Ceryle rudis","Alcedinidae","Coraciiformes",64.2,50.6,9.1,11.6,11,136.2,47.5,90,34.5,75.7,84.4,"NO","Wetland",3,1,"Carnivore","Aquatic predator","Insessorial",23875911.23,"Pied Kingfisher"
"63","Halcyon smyrnensis","Alcedinidae","Coraciiformes",59.8,48.4,13.7,14.3,15,113.2,24.5,88.7,21.7,78.3,91.4,"NO","Human Modified",2,2,"Carnivore","Omnivore","Insessorial",6823580.46,"White-throated Kingfisher"
"64","Pelargopsis capensis","Alcedinidae","Coraciiformes",84.9,68.2,17.2,21.7,15.8,146.7,29.6,117.7,20.1,94.2,178.7,"NO","Riverine",2,2,"Carnivore","Aquatic predator","Insessorial",5091973.15,"Stork-billed Kingfisher"
"65","Coracias benghalensis","Coraciidae","Coraciiformes",41.4,28.5,10.1,14.2,24.5,180.1,52.1,127.9,29,121.9,157.5,"NO","Human Modified",2,2,"Carnivore","Omnivore","Insessorial",3925127.24,"Indian Roller"
"66","Merops orientalis","Meropidae","Coraciiformes",29.4,21.3,5.4,4.8,11.3,91.2,32.2,59,35.4,69.8,14.8,"NO","Shrubland",2,1,"Carnivore","Invertivore","Insessorial",5717891,"Green Bee-eater"
"67","Merops philippinus","Meropidae","Coraciiformes",42.1,33.8,7,7.4,13,129.5,26.6,104.2,20.3,106,34,"NO","Wetland",2,3,"Carnivore","Invertivore","Insessorial",4254463.63,"Blue-tailed Bee-eater"
"68","Centropus sinensis","Cuculidae","Cuculiformes",46.6,29.3,9.9,16.3,55.6,212.4,30.9,181.9,14.6,260.9,280.7,"NO","Woodland",2,1,"Carnivore","Vertivore","Terrestrial",7931391.58,"Greater Coucal"
"69","Clamator jacobinus","Cuculidae","Cuculiformes",24.7,15.6,6.8,7.9,28.7,145.2,50.6,92.9,35.2,160.8,79.4,"NO","Grassland",2,3,"Carnivore","Invertivore","Insessorial",16118043.62,"Pied Cuckoo"
"70","Cuculus canorus","Cuculidae","Cuculiformes",26,15.4,7.6,7.6,21.4,192,84.6,105.9,43.9,158.1,111.4,"NO","Forest",2,3,"Carnivore","Invertivore","Insessorial",37338142.79,"Common Cuckoo"
"71","Eudynamys scolopaceus","Cuculidae","Cuculiformes",32.1,20.4,10.3,10.6,31,196.4,62.4,136.4,31.4,179.7,194.9,"NO","Woodland",2,2,"Herbivore","Frugivore","Insessorial",9692360.68,"Asian Koel"
"72","Hierococcyx varius","Cuculidae","Cuculiformes",26.1,14.9,7.7,7.6,23.5,191,66.8,124,35,161.4,103,"NO","Woodland",2,1,"Carnivore","Invertivore","Insessorial",3245384.68,"Common Hawk-Cuckoo"
"73","Falco peregrinus","Falconidae","Falconiformes",31.1,18.4,13.7,15.4,45.1,314.7,165,152.6,52.2,143,760,"NO","Grassland",3,2,"Carnivore","Vertivore","Aerial",38088662.45,"Peregrine Falcon"
"74","Falco tinnunculus","Falconidae","Falconiformes",20.8,14.1,10.6,11.5,39.1,241,123.2,118.4,51,154.5,183.2,"NO","Shrubland",3,3,"Carnivore","Vertivore","Aerial",49037026.09,"Eurasian Kestrel"
"75","Pavo cristatus","Phasianidae","Galliformes",49.1,22.8,13,12.2,130,445.2,124.4,311.1,28.7,403.2,4154.8,"NO","Forest",2,1,"Omnivore","Omnivore","Terrestrial",2837970.09,"Indian Peafowl"
"76","Grus grus","Gruidae","Gruiformes",108.1,58.1,10.7,16.8,234.4,540.6,225.5,300.2,43,193.4,5500,"NO","Wetland",3,3,"Herbivore","Omnivore","Terrestrial",15456101.32,"Common Crane"
"77","Amaurornis phoenicurus","Rallidae","Gruiformes",37.1,18.6,4.4,8.8,50.8,147,33.7,111.5,23.2,57.6,180,"NO","Wetland",2,1,"Carnivore","Aquatic predator","Terrestrial",9839893.66,"White-breasted Waterhen"
"78","Fulica atra","Rallidae","Gruiformes",37.7,16.5,5.6,10.5,57,198.2,78.6,120,39.6,53.9,717.1,"NO","Wetland",3,1,"Herbivore","Herbivore aquatic","Generalist",33490842.86,"Eurasian Coot"
"79","Gallinula chloropus","Rallidae","Gruiformes",33.9,13.2,4.3,8.1,45.9,165.5,53,110.5,32.2,69,339.6,"NO","Wetland",3,1,"Omnivore","Omnivore","Terrestrial",38515141.7,"Eurasian Moorhen"
"80","Acrocephalus dumetorum","Acrocephalidae","Passeriformes",16.4,9.2,3.6,3.1,22.3,62.1,12.7,49.6,20.4,53.1,11.2,"NO","Wetland",2,3,"Carnivore","Invertivore","Insessorial",5747941.28,"Blyth's Reed Warbler"
"81","Acrocephalus stentoreus","Acrocephalidae","Passeriformes",24.6,14.7,4.4,4.6,27.3,80.1,18.2,62.1,22.6,74.5,24.2,"NO","Wetland",3,2,"Carnivore","Invertivore","Insessorial",4179062.95,"Clamorous Reed Warbler"
"82","Aegithina tiphia","Aegithinidae","Passeriformes",17,10.8,4.3,4.5,19.7,61.6,6.2,55.2,10,47.8,12,"NO","Forest",1,1,"Carnivore","Invertivore","Insessorial",6356008.52,"Common Iora"
"83","Alauda gulgula","Alaudidae","Passeriformes",14.8,9.7,4.3,4.6,23.3,86.4,23.7,62.6,27.5,52.2,26.3,"NO","Grassland",3,2,"Omnivore","Omnivore","Terrestrial",11895680.09,"Oriental Skylark"
"84","Lalage melanoptera","Campephagidae","Passeriformes",19.3,10.8,5.7,5.1,20.8,100.2,27.1,73.1,27,72.5,29.4,"NO","Forest",2,1,"Carnivore","Invertivore","Insessorial",993885.08,"Black-headed Cuckooshrike"
"85","Pericrocotus cinnamomeus","Campephagidae","Passeriformes",13,7,4,3.5,15.3,67.2,17.4,49.7,25.9,68.3,8.6,"NO","Shrubland",2,2,"Carnivore","Invertivore","Insessorial",4793425.28,"Small Minivet"
"86","Chloropsis aurifrons","Chloropseidae","Passeriformes",23.7,14.9,4,5,19.8,94.4,18.7,75,20,69.8,32.3,"NO","Forest",1,1,"Omnivore","Omnivore","Insessorial",3471632.85,"Golden-fronted Leafbird"
"87","Cisticola juncidis","Cisticolidae","Passeriformes",12.1,6.8,2.3,2.6,17.7,48.9,6.7,42.8,13.5,40.3,6.8,"NO","Grassland",3,3,"Carnivore","Invertivore","Generalist",18929166.75,"Zitting Cisticola"
"88","Orthotomus sutorius","Cisticolidae","Passeriformes",15.5,8.9,2.7,2.6,19.3,45.5,4.8,40.8,10.4,47.7,7.5,"NO","Shrubland",2,1,"Carnivore","Invertivore","Insessorial",6849946.15,"Common Tailorbird"
