species
Lanius schach_Long-tailed Shrike
Circus macrourus_Pallid Harrier
Caprimulgus asiaticus_Indian Nightjar
Chroicocephalus brunnicephalus_Brown-headed Gull
Burhinus indicus_Indian Thick-knee
Gelochelidon nilotica_Gull-billed Tern
Chrysomma sinense_Yellow-eyed Babbler
Calidris temminckii_Temminck's Stint
Cyornis tickelliae_Tickell's Blue Flycatcher
Iduna rama_Sykes's Warbler
Spatula querquedula_Garganey
Anthus godlewskii_Blyth's Pipit
Egretta gularis_Western Reef-Heron
Chloropsis aurifrons_Golden-fronted Leafbird
Nettapus coromandelianus_Cotton Pygmy-Goose
Acrocephalus stentoreus_Clamorous Reed Warbler
Ocyceros birostris_Indian Gray Hornbill
Phylloscopus nitidus_Green Warbler
Alauda gulgula_Oriental Skylark
Chloropsis jerdoni_Jerdon's Leafbird
Prinia hodgsonii_Gray-breasted Prinia
Monticola cinclorhyncha_Blue-capped Rock-Thrush
Hirundo smithii_Wire-tailed Swallow
Petrochelidon fluvicola_Streak-throated Swallow
Numenius phaeopus_Whimbrel
Parus cinereus_Cinereous Tit
Ploceus manyar_Streaked Weaver
Amandava amandava_Red Avadavat
Chroicocephalus ridibundus_Black-headed Gull
Dicaeum agile_Thick-billed Flowerpecker
Zosterops palpebrosus_Indian White-eye
Ficedula albicilla_Taiga Flycatcher
Glareola lactea_Small Pratincole
Charadrius mongolus_Lesser Sand-Plover
Circaetus gallicus_Short-toed Snake-Eagle
Acridotheres fuscus_Jungle Myna
Calidris pugnax_Ruff
Sternula albifrons_Little Tern
Oriolus xanthornus_Black-hooded Oriole
Metopidius indicus_Bronze-winged Jacana
Hieraaetus pennatus_Booted Eagle
Gracupica contra_Asian Pied Starling
Pandion haliaetus_Osprey
Circus pygargus_Montagu's Harrier
Coturnix coromandelica_Rain Quail
Hypothymis azurea_Black-naped Monarch
Spilornis cheela_Crested Serpent-Eagle
Ixobrychus cinnamomeus_Cinnamon Bittern
Coracina macei_Large Cuckooshrike
Acrocephalus agricola_Paddyfield Warbler
Argya striata_Jungle Babbler
Anthus richardi_Richard's Pipit
Larvivora brunnea_Indian Blue Robin
Geokichla citrina_Orange-headed Thrush
Pellorneum ruficeps_Puff-throated Babbler
Merops leschenaulti_Chestnut-headed Bee-eater
Falco peregrinus_Peregrine Falcon
Galloperdix spadicea_Red Spurfowl
Dendronanthus indicus_Forest Wagtail
Pomatorhinus horsfieldii_Indian Scimitar-Babbler
Anthus campestris_Tawny Pipit
Mareca penelope_Eurasian Wigeon
Taccocua leschenaultii_Sirkeer Malkoha
Vanellus cinereus_Gray-headed Lapwing
Carpodacus erythrinus_Common Rosefinch
Sterna hirundo_Common Tern
Ixobrychus flavicollis_Black Bittern
Monticola solitarius_Blue Rock-Thrush
Psittacula eupatria_Alexandrine Parakeet
Nisaetus cirrhatus_Changeable Hawk-Eagle
Bubo bengalensis_Rock Eagle-Owl
Gymnoris xanthocollis_Yellow-throated Sparrow
Calidris ferruginea_Curlew Sandpiper
Hemiprocne coronata_Crested Treeswift
Argya caudata_Common Babbler
Accipiter trivirgatus_Crested Goshawk
Anser indicus_Bar-headed Goose
Curruca curruca_Lesser Whitethroat
Ficedula superciliaris_Ultramarine Flycatcher
Motacilla citreola_Citrine Wagtail
Gallinago stenura_Pin-tailed Snipe
Picus chlorolophus_Lesser Yellownape
Glareola maldivarum_Oriental Pratincole
Anas crecca_Green-winged Teal
Sitta frontalis_Velvet-fronted Nuthatch
Cyornis rubeculoides_Blue-throated Flycatcher
Muscicapa muttui_Brown-breasted Flycatcher
Copsychus malabaricus_White-rumped Shama
Otus bakkamoena_Indian Scops-Owl
Anthus trivialis_Tree Pipit
Ptyonoprogne concolor_Dusky Crag-Martin
Zapornia fusca_Ruddy-breasted Crake
Gallinago gallinago_Common Snipe
Rostratula benghalensis_Greater Painted-Snipe
Treron phoenicopterus_Yellow-footed Green-Pigeon
Ketupa zeylonensis_Brown Fish-Owl
Eumyias thalassinus_Verditer Flycatcher
Luscinia svecica_Bluethroat
Streptopelia orientalis_Oriental Turtle-Dove
Caprimulgus atripennis_Jerdon's Nightjar
Apus melba_Alpine Swift
Tringa erythropus_Spotted Redshank
Turdus unicolor_Tickell's Thrush
Numenius arquata_Eurasian Curlew
Butorides striata_Striated Heron
Yungipicus nanus_Brown-capped Pygmy Woodpecker
Dicrurus paradiseus_Greater Racket-tailed Drongo
Turdus simillimus_Indian Blackbird
Circus melanoleucos_Pied Harrier
Calliope calliope_Siberian Rubythroat
Strix leptogrammica_Brown Wood-Owl
Micropternus brachyurus_Rufous Woodpecker
Charadrius leschenaultii_Greater Sand-Plover
Clanga clanga_Greater Spotted Eagle
Perdicula asiatica_Jungle Bush-Quail
Chrysocolaptes festivus_White-naped Woodpecker
Iole indica_Yellow-browed Bulbul
Larus fuscus_Lesser Black-backed Gull
Ninox scutulata_Brown Boobook
Haliaeetus leucogaster_White-bellied Sea-Eagle
Saxicola maurus_Siberian Stonechat
Rhipidura aureola_White-browed Fantail
Harpactes fasciatus_Malabar Trogon
Dicrurus caerulescens_White-bellied Drongo
Caprimulgus affinis_Savanna Nightjar
Galerida deva_Tawny Lark
Pericrocotus flammeus_Orange Minivet
Tyto alba_Barn Owl
Hemicircus canente_Heart-spotted Woodpecker
Culicicapa ceylonensis_Gray-headed Canary-Flycatcher
Asio flammeus_Short-eared Owl
Pterocles exustus_Chestnut-bellied Sandgrouse
Loriculus vernalis_Vernal Hanging-Parrot
Alcippe poioicephala_Brown-cheeked Fulvetta
Glaucidium radiatum_Jungle Owlet
Phoenicurus ochruros_Black Redstart
Xenus cinereus_Terek Sandpiper
Strix ocellata_Mottled Wood-Owl
Aythya fuligula_Tufted Duck
Rhipidura albogularis_Spot-breasted Fantail
Psilopogon viridis_White-cheeked Barbet
Psilopogon zeylanicus_Brown-headed Barbet
Jynx torquilla_Eurasian Wryneck
Pluvialis squatarola_Black-bellied Plover
Leiopicus mahrattensis_Yellow-crowned Woodpecker
Ciconia nigra_Black Stork
Anthus hodgsoni_Olive-backed Pipit
Tadorna ferruginea_Ruddy Shelduck
Ictinaetus malaiensis_Black Eagle
Arenaria interpres_Ruddy Turnstone
Mixornis gularis_Pin-striped Tit-Babbler
Phylloscopus collybita_Common Chiffchaff
Phoenicopterus roseus_Greater Flamingo
Chalcophaps indica_Asian Emerald Dove
Caprimulgus indicus_Jungle Nightjar
Oriolus chinensis_Black-naped Oriole
Netta rufina_Red-crested Pochard
Recurvirostra avosetta_Pied Avocet
Anthracoceros coronatus_Malabar Pied-Hornbill
Machlolophus aplonotus_Indian Yellow Tit
Thalasseus bengalensis_Lesser Crested Tern
Gracula indica_Southern Hill Myna
Pericrocotus speciosus_Scarlet Minivet
Mareca strepera_Gadwall
Mirafra erythroptera_Indian Bushlark
Riparia riparia_Bank Swallow
Calidris tenuirostris_Great Knot
Ficedula parva_Red-breasted Flycatcher
Limosa lapponica_Bar-tailed Godwit
Psittacula columboides_Malabar Parakeet
Thalasseus bergii_Great Crested Tern
Aythya ferina_Common Pochard
Calidris alpina_Dunlin
Esacus recurvirostris_Great Thick-knee
Pycnonotus xantholaemus_Yellow-throated Bulbul
Chlidonias leucopterus_White-winged Tern
Leptocoma minima_Crimson-backed Sunbird
Myophonus horsfieldii_Malabar Whistling-Thrush
Dicrurus aeneus_Bronzed Drongo
Picus xanthopygaeus_Streak-throated Woodpecker
Ocyceros griseus_Malabar Gray Hornbill
Thalasseus sandvicensis_Sandwich Tern
Calidris alba_Sanderling
Podiceps cristatus_Great Crested Grebe
Cuculus canorus_Common Cuckoo
Cuculus micropterus_Indian Cuckoo
Dicaeum concolor_Nilgiri Flowerpecker
Pelargopsis capensis_Stork-billed Kingfisher
Hemipus picatus_Bar-winged Flycatcher-shrike
Phylloscopus magnirostris_Large-billed Leaf Warbler
Psilopogon malabaricus_Malabar Barbet
Delichon urbicum_Common House-Martin
Merops apiaster_European Bee-eater
Argya subrufa_Rufous Babbler
Anous tenuirostris_Lesser Noddy
Aquila nipalensis_Steppe Eagle
Gallicrex cinerea_Watercock
Surniculus dicruroides_Fork-tailed Drongo-Cuckoo
Rallina eurizonoides_Slaty-legged Crake
Emberiza melanocephala_Black-headed Bunting
Chrysocolaptes guttacristatus_Greater Flameback
Emberiza buchanani_Gray-necked Bunting
Charadrius hiaticula_Common Ringed Plover
Coracias garrulus_European Roller
Grus grus_Common Crane
Phylloscopus occipitalis_Western Crowned Warbler
Lewinia striata_Slaty-breasted Rail
Accipiter nisus_Eurasian Sparrowhawk
Rubigula gularis_Flame-throated Bulbul
Emberiza bruniceps_Red-headed Bunting
Treron affinis_Gray-fronted Green-Pigeon
Phylloscopus humei_Hume's Warbler
Chroicocephalus genei_Slender-billed Gull
Sturnus vulgaris_European Starling
Perdicula argoondah_Rock Bush-Quail
Buteo buteo_Common Buzzard
Dendrocitta leucogastra_White-bellied Treepie
Zapornia pusilla_Baillon's Crake
Sturnia blythii_Malabar Starling
Anthus cervinus_Red-throated Pipit
Haliaeetus ichthyaetus_Gray-headed Fish-Eagle
Cacomantis sonneratii_Banded Bay Cuckoo
Turnix sylvaticus_Small Buttonquail
Galerida malabarica_Malabar Lark
Phylloscopus affinis_Tickell's Leaf Warbler
Anser anser_Graylag Goose
Dicrurus hottentottus_Hair-crested Drongo
Tephrodornis sylvicola_Malabar Woodshrike
